"party","mp","B","D","H","J","K","L","M","O"
"Conservative","Adam Afriyie","1","0","0","0","0","0","0","1"
"Conservative","Adam Holloway","1","0","0","0","0","0","0","1"
"Conservative","Alan Mak","1","0","0","0","0","0","0","1"
"Conservative","Alberto Costa","0","1","1","0","0","0","0","0"
"Conservative","Alex Burghart",NA,"0","0","0","0","0","0",NA
"Conservative","Alex Chalk","0","0","0","1","0",NA,NA,"0"
"Conservative","Alistair Burt","0","1","1","1","0",NA,NA,"0"
"Conservative","Alok Sharma","0","0","0","0","0","0","0","0"
"Conservative","Amanda Milling","1","0","0","0","0","0","0",NA
"Conservative","Andrea Jenkyns","1","0","0","0","0","0","0","1"
"Conservative","Andrew Bowie","0","0","0","0","0","0","0","0"
"Conservative","Andrew Bridgen","1","0","0","0","0","0","0","1"
"Conservative","Andrew Griffiths","1","0","0","0","0","0","0","0"
"Conservative","Andrew Jones","0","0","0","0","0","0","0","0"
"Conservative","Andrew Lewer","1","0","0","0","0","0","0","1"
"Conservative","Andrew Percy","1","1","1","0","0","0","0","1"
"Conservative","Andrew Rosindell","1","0","0","0","0","0","0","1"
"Conservative","Andrew Selous",NA,"0","0","0","0","0","0",NA
"Conservative","Andrew Stephenson","1","0","0","0","0","0","0","1"
"Conservative","Anne Marie Morris","1","0","0","0","0","0","0","0"
"Conservative","Anne Milton","0",NA,NA,"1","0",NA,NA,"0"
"Conservative","Anne-Marie Trevelyan","1","0","0","0","0","0","0","1"
"Conservative","Antoinette Sandbach","0","1","1","1","0",NA,"1","0"
"Conservative","Ben Bradley","1","0","0","0","0","0","0","1"
"Conservative","Bill Grant","0","0","1","0","0","0","0","0"
"Conservative","Bill Wiggin","1","0","0","0","0","0","0","1"
"Conservative","Bim Afolami","0","1","1",NA,"0","0","0",NA
"Conservative","Bob Blackman","1","0","1","0","0","0","0","1"
"Conservative","Bob Stewart","1","0","0","0","0","0","0","1"
"Conservative","Boris Johnson","1","0","0","0","0","0","0","1"
"Conservative","Caroline Dinenage","1","0","0","0","0","0","0","1"
"Conservative","Charlie Elphicke","1","0","0","0","0","0","0","1"
"Conservative","Chloe Smith",NA,"0","0","0","0","0","0",NA
"Conservative","Chris Davies","1","0","1","0","0","0","0","1"
"Conservative","Chris Green","1","0","0","0","0","0","0","1"
"Conservative","Chris Heaton-Harris","1","0","0","0","0","0","0","0"
"Conservative","Chris Philp",NA,"0","0","0","0","0","0","1"
"Conservative","Chris Skidmore","0","0","0","0","0","0","0","0"
"Conservative","Christopher Pincher","1","0","0","0","0","0","0","1"
"Conservative","Colin Clark","0","0",NA,NA,"0","0","0",NA
"Conservative","Conor Burns","1","0","0","0","0","0","0","1"
"Conservative","Craig Mackinlay","1","0","0","0","0","0","0","1"
